,LEMMA,HEAD,HEAD POS,HEAD GEN,LEMMA GEN,SYSTEM_SUFFIX,HEAD_SUFFIX
1284,πυρηφορος,nan,Verb,V,ον,"('ρος', 'ον')",V
1285,πυριηκης,nan,Verb,V,ες,"('ης', 'ες')",V
1286,πυρικαυστος,nan,Verb,V,ον,"('στος', 'ον')",V
1289,πυροφορος,nan,Verb,V,ον,"('ρος', 'ον')",V
1290,ρηξηνωρ,ανδρος,Noun,ου,ορος,"('ωρ', 'ορος')","('ρος', 'ου')"
1291,ρινοτορος,τειρω,Verb,V,ον,"('ρος', 'ον')",V
1292,ροδοδακτυλος,δακτυλος,Noun,ου,ον,"('λος', 'ον')","('λος', 'ου')"
1293,σακεσπαλος,παλλω,Verb,V,ον,"('λος', 'ον')",V
1294,σαοφροσυνη,nan,Verb,V,ης,"('συνη', 'ης')",V
1295,σαοφρων,nan,Verb,V,ον,"('ων', 'ον')",V
1296,σηκοκορος,κορεω,Verb,V,ου,"('ρος', 'ου')",V
1298,σιτοφαγος,ασιτος,Adjective,ον,ον,"('ος', 'ον')","('ιτος', 'ον')"
1299,σκηπτουχος,ασηπτος,Adjective,ον,ου,"('ος', 'ου')","('τος', 'ον')"
1300,σκυτοτομος,τεμνω,Verb,V,ου,"('μος', 'ου')",V
1302,στεροπη,nan,Verb,V,ης,"('η', 'ης')",V
1307,συμφερτος,nan,Verb,V,ον,"('τος', 'ον')",V
1308,συνθεσια,τιθημι,Verb,V,ης,"('σια', 'ης')",V
1309,συντρεις,nan,Verb,V,ια,,V
1312,ταλαπειριος,πειρα,Noun,ας,ον,"('ιος', 'ον')","('ρα', 'ας')"
1314,ταλασιφρων,φρενοω,Verb,V,ον,"('ων', 'ον')",V
1315,ταλαυρινος,ηρινος,Verb,V,ον,"('νος', 'ον')",V
1316,ταλαφρων,φρενοω,Verb,V,ον,"('ων', 'ον')",V
1317,ταμεσιχρως,τερψιμβροτος,Verb,V,οος,,V
1318,ταναηκης,ηκη,Noun,ης,ες,"('ης', 'ες')","('η', 'ης')"
1319,ταναυπους,σποδος,Noun,ου,ουν,"('υς', 'ουν')","('ος', 'ου')"
1320,τανηλεγης,αλεγω,Verb,V,ες,"('ης', 'ες')",V
1321,τανυγλωσσος,γλωσσα,Noun,ης,ον,"('ος', 'ον')","('σα', 'ης')"
1323,τανυπεπλος,τανυμαι,Noun,e,ον,"('λος', 'ον')",
1324,τανυπτερυξ,πτερυξ,Noun,υγος,υγος,,
1325,τανυσιπτερος,πτερον,Noun,ου,ον,"('τερος', 'ον')","('ον', 'ου')"
1326,τανυφλοιος,τανυμαι,Noun,e,ον,"('ιος', 'ον')",
1327,τανυφυλλος,φυλλον,Noun,ου,ον,"('λος', 'ον')","('ον', 'ου')"
1328,ταχυπωλος,πωλος,Adjective,ου,ον,"('λος', 'ον')","('λος', 'ου')"
1330,τελεσφορος,φερω,Verb,V,ον,"('ρος', 'ον')",V
1331,τερπικεραυνος,κεραυνοω,Verb,V,ον,"('νος', 'ον')",V
1335,τετραθελυμνος,nan,Verb,V,ον,"('νος', 'ον')",V
1337,τετραορος,αειρω,Verb,V,ον,"('ρος', 'ον')",V
1338,τετραφαληρος,φαληρον,Noun,ου,ον,"('ρος', 'ον')","('ον', 'ου')"
1339,τετραφαλος,φαλος,Adjective,ον,ον,"('λος', 'ον')","('λος', 'ον')"
1340,τηλεκλειτος,κλειτος,Adjective,ον,ον,"('ιτος', 'ον')","('ιτος', 'ον')"
1341,τηλεκλυτος,κλυτος,Adjective,ον,ον,"('τος', 'ον')","('τος', 'ον')"
1342,τηλεμαχος,μαχομαι,Verb,V,ον,"('ος', 'ον')",V
1343,τηλεπυλος,πυλος,Adjective,ου,ον,"('λος', 'ον')","('λος', 'ου')"
1345,τηλυγετος,γιγνομαι,Verb,V,ον,"('ετος', 'ον')",V
1346,τληπολεμος,πολεμος,Noun,ου,ου,"('μος', 'ου')","('μος', 'ου')"
1349,τοξοφορος,φερω,Verb,V,ον,"('ρος', 'ον')",V
1350,τοσσοσδε,δε,Verb,V,ονδε,,V
1353,τραπεζευς,nan,Verb,V,εως,"('ευς', 'εως')",V
1355,τριετης,τρεις,Adjective,τρια,ες,"('ετης', 'ες')",
1357,τριπολος,πελομαι,Verb,V,ον,"('λος', 'ον')",V
1358,τριπους,σποδος,Noun,ου,ουν,"('υς', 'ουν')","('ος', 'ου')"
1359,τριπτυχος,πτυσσω,Verb,V,ον,"('ος', 'ον')",V
1361,τριστοιχος,στοιχος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
1362,τριτογενεια,γιγνομαι,Verb,V,ας,"('εια', 'ας')",V
1364,τρυφαλεια,φαλος,Adjective,ον,ας,"('εια', 'ας')","('λος', 'ον')"
1366,υδατοτρεφης,τρεφω,Verb,V,ες,"('ης', 'ες')",V
1367,υλακομωρος,μωρος,Adjective,ον,ον,"('ρος', 'ον')","('ρος', 'ον')"
1368,υλοτομος,τεμνω,Verb,V,ον,"('μος', 'ον')",V
1369,υπασπιδιος,απιδεα,Noun,ας,ον,"('ιδιος', 'ον')","('α', 'ας')"
1370,υπειροχιδης,nan,Verb,V,ου,"('ιδης', 'ου')",V
1371,υπειροχος,εχω,Verb,V,ου,"('ος', 'ου')",V
1372,υπειροχος,εχω,Verb,V,ου,"('ος', 'ου')",V
1373,υπεραης,αημι,Verb,V,ες,"('ης', 'ες')",V
1377,υπερηνωρ,ανδρος,Noun,ου,ορος,"('ωρ', 'ορος')","('ρος', 'ου')"
1379,υπερθυριον,nan,Verb,V,ου,"('ιον', 'ου')",V
1380,υπεριονιδης,nan,Verb,V,ου,"('ιδης', 'ου')",V
1381,υπεριων,nan,Verb,V,ονος,"('ιων', 'ονος')",V
1382,υπερμενης,μενετος,Adjective,ον,ους,"('ης', 'ους')","('ετος', 'ον')"
1383,υπεροπλια,nan,Verb,V,ας,"('ια', 'ας')",V
1384,υπεροπλος,οπλον,Noun,ου,ον,"('λος', 'ον')","('ον', 'ου')"
1385,υπερφιαλος,υπερφυης,Adjective,ες,ον,"('λος', 'ον')","('ης', 'ες')"
1386,υποκυκλος,κυκλος,Noun,ου,ον,"('λος', 'ον')","('λος', 'ου')"
1387,υπονηιος,νηιον,Noun,ου,ον,"('ιος', 'ον')","('ιον', 'ου')"
1388,υποπλακιος,nan,Verb,V,ον,"('ιος', 'ον')",V
1390,υποτροπος,τρεπω,Verb,V,ον,"('ος', 'ον')",V
1391,υπουρανιος,ουρανος,Noun,ου,ον,"('ιος', 'ον')","('νος', 'ου')"
1392,υποφητης,φημι,Verb,V,ου,"('ητης', 'ου')",V
1393,υποχειριος,χειρ,Noun,e,ος,"('ιος', 'ος')",
1394,υποψιος,nan,Verb,V,ον,"('ιος', 'ον')",V
1395,υπωπιον,πος,Verb,V,ου,"('ιον', 'ου')",V
1396,υπωροφιος,οροφος,Noun,ου,ον,"('ιος', 'ον')","('ος', 'ου')"
1399,υψερεφης,ερεφω,Verb,V,ες,"('ης', 'ες')",V
1400,υψηνωρ,υψηνωρ,Noun,ορος,ορος,"('ωρ', 'ορος')","('ωρ', 'ορος')"
1401,υψηχης,ηχος,Noun,ου,ες,"('ης', 'ες')","('ος', 'ου')"
1403,υψιζυγος,ζυγον,Noun,ου,ον,"('ος', 'ον')","('ον', 'ου')"
1404,υψικαρηνος,καρηνον,Noun,ου,ον,"('νος', 'ον')","('ον', 'ου')"
1406,υψικομος,κομη,Noun,ης,ον,"('μος', 'ον')","('η', 'ης')"
1407,υψιπετηεις,nan,Verb,V,ηεν,"('εις', 'ηεν')",V
1409,υψιπετης,πετομαι,Verb,V,ου,"('ετης', 'ου')",V
1410,υψιπυλη,πυλη,Noun,ης,ης,"('η', 'ης')","('η', 'ης')"
1411,υψιπυλος,πυλη,Noun,ης,ον,"('λος', 'ον')","('η', 'ης')"
1412,υψοροφος,οροφη,Noun,ης,ον,"('ος', 'ον')","('η', 'ης')"
1414,φαινοψ,πος,Verb,V,οπος,,V
1415,φασσοφονος,nan,Verb,V,ον,"('νος', 'ον')",V
1416,φερεκλος,nan,Verb,V,ου,"('λος', 'ου')",V
1417,φθισηνωρ,υψηνωρ,Noun,ορος,ορος,"('ωρ', 'ορος')","('ωρ', 'ορος')"
1419,φιληρετμος,ερετμος,Noun,ου,ον,"('μος', 'ον')","('μος', 'ου')"
1420,φιλοιτιος,nan,Verb,V,ου,"('ιος', 'ου')",V
1421,φιλοκερτομος,nan,Verb,V,ον,"('μος', 'ον')",V
1422,φιλοκτεανος,nan,Verb,V,ον,"('νος', 'ον')",V
1423,φιλοκτητης,κταομαι,Verb,V,ου,"('ητης', 'ου')",V
1427,φιλοπτολεμος,πτολεμος,Noun,ου,ον,"('μος', 'ον')","('μος', 'ου')"
1430,φοινικοπαρηος,παρεια,Noun,ας,ον,"('ος', 'ον')","('εια', 'ας')"
1431,φυγοπτολεμος,nan,Verb,V,ον,"('μος', 'ον')",V
1432,φυλομεδουσα,nan,Verb,V,ης,"('σα', 'ης')",V
1434,φυσιζοος,nan,Verb,V,ον,"('ος', 'ον')",V
1435,χαλιφρων,φρην,Noun,e,ον,"('ων', 'ον')",
1437,χαλκεοφωνος,φωνη,Noun,ης,ον,"('νος', 'ον')","('η', 'ης')"
1438,χαλκηρης,αραρισκω,Verb,V,ες,"('ης', 'ες')",V
1442,χαλκοκορυστης,κορυστης,Noun,ου,ου,"('της', 'ου')","('της', 'ου')"
1443,χαλκοπαρηος,παρεια,Noun,ας,ον,"('ος', 'ον')","('εια', 'ας')"
1445,χαλκοτυπος,τυπος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
1446,χαλκοχιτων,χιτων,Noun,ωνος,ωνος,"('ων', 'ωνος')","('ων', 'ωνος')"
1447,χαμαιευνης,ευνη,Noun,ης,ου,"('ης', 'ου')","('η', 'ης')"
1448,χαμαιευνας,ευνη,Noun,ης,αδος,"('ας', 'αδος')","('η', 'ης')"
1449,χαροπος,οψις,Noun,εως,ον,"('ος', 'ον')","('ις', 'εως')"
1452,χερνιψ,νιζω,Verb,V,ιϐος,,V
1455,χρυσαμπυξ,αμπυξ,Noun,υκος,υκος,,
1456,χρυσαορος,αορ,Noun,αορ,ον,"('ρος', 'ον')",
1457,χρυσηλακατος,ηλακατη,Noun,ης,ον,"('τος', 'ον')","('η', 'ης')"
1460,χρυσοθρονος,θρονος,Noun,ου,ον,"('νος', 'ον')","('νος', 'ου')"
1461,χρυσοπεδιλος,πεδιλον,Noun,ου,ον,"('λος', 'ον')","('ον', 'ου')"
1462,χρυσοπτερος,πτερον,Noun,ου,ον,"('τερος', 'ον')","('ον', 'ου')"
1463,χρυσορραπις,ραπις,Noun,ιδος,ιδος,"('ις', 'ιδος')","('ις', 'ιδος')"
1464,χρυσοχοος,χεω,Verb,V,οου,"('ος', 'οου')",V
1465,ψευδαγγελος,αγγελος,Adjective,ου,ου,"('λος', 'ου')","('λος', 'ου')"
1468,ωκυμορος,μειρομαι,Verb,V,ον,"('ρος', 'ον')",V
1469,ωκυπετης,πετομαι,Verb,V,ου,"('ετης', 'ου')",V
1470,ωκυπορος,πειρω,Verb,V,ον,"('ρος', 'ον')",V
1471,ωκυπους,σποδος,Noun,ου,ουν,"('υς', 'ουν')","('ος', 'ου')"
1472,ωκυπτερος,πτερον,Noun,ου,ον,"('τερος', 'ον')","('ον', 'ου')"
1474,ωλεσικαρπος,καρπος,Noun,ου,ον,"('ος', 'ον')","('ος', 'ου')"
1475,ωμηστης,εδω,Verb,V,ου,"('της', 'ου')",V
1477,ωμοφαγος,φαγειν,Verb,V,ον,"('ος', 'ον')",V
