,LEMMA,FIRST,SECOND,SUFFIX,SIMPLE,POS,HEAD,POS_HEAD,HEAD_NORMALIZED,HEAD_SUFFIX,SYSTEM_SUFFIX
1115,πατροκασίγνητος,noun stemπατρο   πατήρ  πατρός   father ,κασίγνητος   ου,,,,κασίγνητος,N,κασίγνητος,τος,τος
1116,Πάτροκλος,noun stemπατρο   πατήρ  πατρός   father ,noun root κλ εϜ   κλέος   good report  fame ,nounsuf. -ος,ος,A,κλέος,N,κλέος,εος,λος
1117,πατροφονεύς,noun stem πατρο   πατήρ  πατρός   father ,φονεύς  a murderer  slayer  homicide ,,,,φονεύς,N,φονεύς,ευς,ευς
1118,πατροφόνος,noun stemπατρο   πατήρ  πατρός   father ,verbal,,,,,V,,V,νος
1119,Πειρίθοος,,,,,,,N,,,ος
1120,Πείσανδρος,verbal root πεισ   πείθω   persuade ,noun stem A   ἀνήρ   man ,"noun suf.-ος, -ου",ος,A,ἀνήρ,N,ἀνήρ,,ρος
1121,Πεισηνορίδης,,,,,,,N,,,ιδης
1122,Πεισήνωρ,verbal root πεισ   πείθω   persuade ,noun stemήνωρ  ἀνήρ   man ,,,,ήνωρ,N,Ὑψήνωρ,ωρ,ωρ
1123,Πεισίστρατος,verbal root πεισ ι  &lt,,,,,πεισ,V,ἔπεισα,V,τος
1124,πεμπώβολον,,,,,,,N,,,ον
1125,πενταέτηρος,noun stem ετη   ἔτος  εος  year ,,"adj. suf. -ρος, -ρον",ρος,A,ἔτος,N,ἔτος,ετος,ρος
1126,πενταετής,noun root ετ   ἔτος  εος  year ,,"adj. suf.-ής,-ές",ης,A,ἔτος,N,ἔτος,ετος,ετης
1127,πεντήκοντα,,,,,,,N,,,τα
1128,πεντηκοντόγυος,noun root γυ   γύης   a measure of land ,,"adj. suf.-ος, -ον",ος,A,γύης,N,γύης,ης,ος
1129,Περίβοια,noun root βο   βοῦς  βοός   ox ,,noun suf. -εια,εια,A,βοῦς,N,βοῦς,υς,ια
1130,περιγλαγής,noun root γλαγ   γλάγος   εος  poet  for γάλα   milk ,,"adj. suf. -ής, -ές",ης,A,γλάγος,N,γλάγος,ος,ης
1131,περιδέξιος,,,,,,,N,,,ιος
1132,Περιήρης,noun root ήρ  &lt  Ϝ ηρ   cf  ἦρα service  gratification  ,,noun suf. -ης,ης,A,ἦρα,N,ἦρσα,ρα,ης
1133,περικαλλής,noun stemκαλλ   κάλλος   εος   beauty ,,"adj. suf.-ής, -ές",ης,A,κάλλος,N,κάλλος,λος,ης
1134,Περικλύμενος,,κλύμενος  part  of κλύω   hear ,,,,κλύμενος,N,κλύμενος,νος,νος
1135,περικλυτός,,κλυτός   τή   τόν  renowned  glorious ,,,,κλυτός,N,κλυτός,τος,τος
1136,περικτίονες,verb root κτι   κτίζω   build houses and cities in ,,noun suf. -ων,ων,A,κτίζω,V,κτίζω,V,ες
1137,περίμετρος,noun rootμετρ   μέτρον  τό  measure  any space measured or measurable  length  size  ,,"adj. suf. -ος, -ον",ος,A,μέτρον,N,μέτρον,ον,ρος
1138,Περιμήδης,verbal root μήδ   μήδομαι   to be minded  intend ,,noun suf. -ης,ης,A,μήδομαι,V,μήδομαι,V,ης
1139,περιμήκης,noun stemμῆκες  μῆκος   lenght ,,"adj. suf.-ης, -ες",ης,A,μῆκες,N,μῆκος,ες,ης
1140,περιξεστός,,,,,,,N,,,στος
1141,περιπευκής,noun root πευκ   πεύκη   pine ,,"adj. suf. -ής, -ές",ης,A,πεύκη,N,πεύκη,η,ης
1142,περιρρηδής,,,,,,,N,,,ης
1143,περίρρυτος,,ῥυτ ός  ή  όν   ῥέω   flowing  fluid  liquid ,,,,ῥυτ,N,ῥυτή,τ,τος
1144,περίσκεπτος,verbal root σκεπτ   σκέπτομαι   look about carefully  spy ,,"adj. suf. -τος, -ον",τος,A,σκέπτομαι,V,σκέπτομαι,V,τος
1145,περίτροχος,verb root τροχ   τρέχω   run ,,"adj. suf. -ος, -ον",ος,A,τρέχω,V,τρέχω,V,ος
1146,Περιφήτης,verbal root φη   φημί   say  speak ,,nounsuf. -της,της,A,φημί,V,φημί,V,ητης
1147,περιφραδής,verbal root φράδ   φράζομαι   think or muse upon ,,"adj. suf. -ής, -ές",ης,A,φράζομαι,V,ὑποφράζομαι,V,ης
1148,περίφρων,noun stem φρ ων  φρήν  midriff  heart  mind ,,"adj. suf. -ων, -ον",ων,A,φρήν,N,φρήν,,ων
1149,περιωπή,noun root ωπ  ὀπή   view  sight ,,noun suf. -ή.,η,A,ὀπή,N,ὀπή,η,η
1150,Περσεφόνεια,verbal root *περσε  *φερσε  φέρω   bear  bring ,noun rootφoν  φόνος   murder  slaughter ,nounsuf. -εια,εια,A,φόνος,N,φόνος,νος,εια
1151,πικρόγαμος,adj  stem πικρό   πικρός   ά   όν   sharp  bitter ,noun root γαμ   γάμος   ου   wedding ,adj. suf. -ος -ον,ος,A,γάμος,N,γάμος,μος,μος
1152,πλήξιππος,verbal root πληξ   πλήσσω   strike ,noun root ιππ   ἵππος   horse ,"adj. suf. -ος, -ον.",ος,A,ἵππος,N,ἵππος,ος,ος
1153,πλησίστιος,verbal root,,,,,,V,,V,ιος
1154,ποδάνιπτρον,noun stemποδα  ποῦς ποδος   foot ,νίπτρον  τό   νίζω   water for washing ,,,,νίπτρον,N,νίπτρον,ον,ον
1155,Ποδάργη,,,,,,,N,,,η
1156,ποδαρκής,noun root ποδ   ποῦς ποδός   foot ,verbal root ἀρκ   ἀρκέω  ward off  defend  succour ,"adj. suf. -ης, -ες",ης,A,ἀρκέω,V,ἀρκέω,V,ης
1157,Ποδάρκης,root noun ποδ   ποῦς ποδος   foot ,verbal root ἀρκ   ἀρκέω   ward off  defend  succour ,nounsuf. -ης,ης,A,ἀρκέω,V,ἀρκέω,V,ης
1158,ποδηνεκής,verbal root ηνεκ   ἐνεγκεῖν   bear ,,"adj. suf. -ής, -ές",ης,A,ἐνεγκεῖν,V,ἐνεγκεῖν,V,ης
1159,ποδήνεμος,noun root ποδ   πούς  ποδός   foot ,noun root ἄνεμ   ἄνεμος   wind ,"adj. suf. -ος, -ον",ος,A,ἄνεμος,N,ἄνεμος,μος,μος
1160,ποδώκης,noun root ποδ  πούς ποδός  foot ,adj  rootὠκ  ὠκύς   εῖα   ύ   quick  swift  fleet ,"suf. adj. -ης, -ες",ης,A,ὠκύς,N,ὠκύς,υς,ης
1161,ποικιλομήτης,,,,,,,N,,,ητης
1162,πολεμιστής,,,,,,,N,,,της
